Index,Models,vqa,nocaps,decimer,memotion,scienceqa,slake,visualgen,pathvqa,ucmerced,enrico,mmimdb,vqarad,flickr30k,faceemotion,newyorkercartoon,okvqa,magicbrush,memecaps,hatefulmemes,inat,nlvr,nlvr2,vcr,winoground,resisc45,GQA,plip,irfl,screen2words
0,minigpt4,-6.049997528,-2.654127744,-5.115613778,-4.947608452,-5.430171683,-6.026975994,-4.400353528,-5.586248329,-6.209941244,-7.318215656,-4.089432897,-5.541248237,-2.888756366,-6.745219593,-5.380099006,-5.216862404,0,-4.005406313,-6.414178019,-6.35647469,-4.519817789,-6.066917248,-4.819105077,-5.779406329,-6.382641599,-5.564317589,-6.495343275,-5.782151217,-6.313263607
1,fuyu,-4.73486728,-2.326713388,-5.27301558,-4.336072497,-4.327699612,-4.629006596,-3.582237501,-5.25311198,-6.158099957,-6.48817045,-5.25345687,-5.493030818,-2.593739484,-6.390092952,-5.72272732,-4.04719372,0,-4.261450686,-5.147568704,-6.088538871,-3.46463851,-3.812201224,-3.306169382,-7.527056683,-5.928235112,-4.215228214,-6.04749954,-5.589785531,-5.974076338
2,kosmos2,-6.000905647,-2.187096559,-5.123710773,-5.590755961,-5.314713092,-5.44800035,-5.272762573,-5.787202663,-6.166543646,-7.634944739,-5.077476078,-7.201462852,-2.538843734,-6.609522252,-6.058822908,-5.33590673,0,-3.575060606,-4.80262949,-6.139720206,-3.946093864,-6.218632728,-4.674663799,-3.94123034,-7.079062047,-5.594887938,-5.652992029,-4.633817611,-5.943075917
3,instruct_blip,-4.770695887,-2.143183532,-5.174032657,-4.614555371,-2.938389272,-4.228260863,-3.899807398,-5.164063747,-4.355036888,-7.626061964,-4.727635559,-5.344279965,-2.492457277,-3.407568393,-4.678491545,-3.544185722,0,-4.473475959,-4.257902077,-6.092167399,-3.544326038,-3.795364719,-3.28695654,-4.036754249,-5.514405299,-4.222857025,-4.590539255,-4.540261313,-6.021779668
4,blip2,-5.359263905,-2.325352502,-5.25810585,-4.660365927,-2.494426631,-4.636994336,-4.133780905,-5.633421621,-3.82996722,-6.694610506,-3.805320489,-5.03765134,-2.577761732,-3.505882826,-4.780306585,-4.173352728,0,-4.397641938,-4.622084851,-5.882167444,-3.225513445,-3.43102744,-3.204491718,-3.881146048,-4.332772778,-4.769808073,-6.981605053,-4.297950319,-5.922297087
5,openflamingo,-6.116194274,-3.227107971,-5.098462896,-5.971159425,-6.318718045,-5.841014352,-4.108117626,-6.166807005,-6.527574182,-7.722990346,-5.315538835,-5.908726125,-3.68372165,-7.192208099,-7.603121705,-6.043002615,0,-4.676480889,-5.79277226,-5.902630501,-5.478912134,-6.980760254,-6.30748138,-7.181340656,-6.808810091,-5.632115538,-6.171299415,-7.091454942,-7.062390404
6,llama_adapter,-5.965587165,-2.492474945,-4.680530291,-5.453146212,-5.020048568,-5.241855006,-4.42215523,-5.569474201,-6.531080413,-6.97309423,-4.4778033,-6.003467316,-3.400186305,-6.293828516,-6.372092781,-5.256311907,0,-4.008281882,-6.386903663,-5.881094842,-4.87403307,-6.941344224,-4.234720474,-5.6173914,-6.604608378,-5.638924198,-5.969165668,-5.123584363,-6.238174257
8,mplugowl,-5.982679594,-2.339450927,-4.886173458,-5.05114651,-4.979016705,-5.53747601,-5.58307039,-5.532530577,-6.028845577,-6.799974089,-4.586719361,-7.101666164,-2.672523811,-5.918132372,-6.174667211,-5.271417539,0,-3.772295964,-5.613749776,-5.833311265,-5.803209181,-5.915771861,-4.156087669,-5.487099037,-6.632438397,-5.671779408,-5.893478527,-4.955700054,-6.013611679
10,emu,-4.829766535,-2.585288188,-5.33891902,-6.136124334,-5.314713092,-5.85805671,-5.246310041,-5.414629245,-6.356674755,-7.552136214,-5.368643788,-6.647515816,-3.572659287,-7.661391554,-6.61696485,-5.100156875,0,-4.690715227,-7.099979771,-5.919443119,-6.892015247,-6.31217733,-6.394535377,-7.822991152,-5.858765051,-4.751002055,-7.00929533,-4.801207252,-7.361615553
7,gptv,-5.559941618,-2.488797289,-4.482808397,-5.604575677,-2.404981701,-4.86900768,-3.762535813,-5.553225499,-4.642158878,-6.38901618,-3.394518383,-5.375305891,-2.937807071,-4.18342504,-6.109194007,-4.374361161,0,-3.706427014,-6.37660904,-5.97897941,-3.29634021,-2.45676663,-4.268471094,-3.834957275,-5.201333573,-4.986197135,-5.051139517,-4.241523938,-5.542629292
9,gemini,-4.831659673,-2.435513946,-4.250388269,-4.729921896,-4.043510555,-3.97932574,-3.735161819,-4.910806384,-4.451812418,-6.335857962,-3.256920427,-5.324042331,-2.565680414,-4.029439057,-4.888526597,-4.01371744,0,-3.284788996,-3.632580323,-5.023809215,-3.487088637,-3.732200045,-3.37185937,-4.097535474,-5.224600737,-4.661381993,-5.579414184,-4.163641584,-5.718295395
